rel_path,age,gender,race,date
UTKFace/26_1_1_20170113011638655.jpg.chip.jpg,26,1,1,20170113011638655
UTKFace/30_0_0_20170117001126198.jpg.chip.jpg,30,0,0,20170117001126198
UTKFace/73_1_0_20170120223851022.jpg.chip.jpg,73,1,0,20170120223851022
UTKFace/26_1_1_20170112211649085.jpg.chip.jpg,26,1,1,20170112211649085
UTKFace/1_1_2_20161219162730478.jpg.chip.jpg,1,1,2,20161219162730478
UTKFace/36_0_2_20170116191926914.jpg.chip.jpg,36,0,2,20170116191926914
UTKFace/54_0_1_20170113151911864.jpg.chip.jpg,54,0,1,20170113151911864
UTKFace/48_1_0_20170110125249128.jpg.chip.jpg,48,1,0,20170110125249128
UTKFace/2_1_2_20161219140833880.jpg.chip.jpg,2,1,2,20161219140833880
UTKFace/2_0_0_20170110213128362.jpg.chip.jpg,2,0,0,20170110213128362
UTKFace/36_0_3_20170119180245724.jpg.chip.jpg,36,0,3,20170119180245724
UTKFace/27_0_1_20170113155149675.jpg.chip.jpg,27,0,1,20170113155149675
UTKFace/60_0_2_20170112222017258.jpg.chip.jpg,60,0,2,20170112222017258
UTKFace/34_1_3_20170119155627753.jpg.chip.jpg,34,1,3,20170119155627753
UTKFace/49_0_3_20170104214426925.jpg.chip.jpg,49,0,3,20170104214426925
UTKFace/40_0_0_20170113210126285.jpg.chip.jpg,40,0,0,20170113210126285
UTKFace/22_1_3_20170104231655336.jpg.chip.jpg,22,1,3,20170104231655336
UTKFace/31_0_0_20170117181559819.jpg.chip.jpg,31,0,0,20170117181559819
UTKFace/40_0_3_20170119211848649.jpg.chip.jpg,40,0,3,20170119211848649
UTKFace/26_1_3_20170104235113586.jpg.chip.jpg,26,1,3,20170104235113586
UTKFace/6_1_4_20170103214752366.jpg.chip.jpg,6,1,4,20170103214752366
UTKFace/56_0_0_20170116183723573.jpg.chip.jpg,56,0,0,20170116183723573
UTKFace/26_1_2_20170116180230472.jpg.chip.jpg,26,1,2,20170116180230472
UTKFace/70_1_0_20170117175535700.jpg.chip.jpg,70,1,0,20170117175535700
UTKFace/2_0_2_20161219155959781.jpg.chip.jpg,2,0,2,20161219155959781
UTKFace/76_0_1_20170116010457070.jpg.chip.jpg,76,0,1,20170116010457070
UTKFace/20_0_3_20170119152949343.jpg.chip.jpg,20,0,3,20170119152949343
UTKFace/56_1_0_20170120133251429.jpg.chip.jpg,56,1,0,20170120133251429
UTKFace/2_0_2_20161219203736244.jpg.chip.jpg,2,0,2,20161219203736244
UTKFace/56_0_2_20170112205301691.jpg.chip.jpg,56,0,2,20170112205301691
UTKFace/60_1_1_20170113001648066.jpg.chip.jpg,60,1,1,20170113001648066
UTKFace/90_1_0_20170117175312742.jpg.chip.jpg,90,1,0,20170117175312742
UTKFace/26_1_3_20170104222850687.jpg.chip.jpg,26,1,3,20170104222850687
UTKFace/13_1_3_20170117181350659.jpg.chip.jpg,13,1,3,20170117181350659
UTKFace/31_1_0_20170103183716629.jpg.chip.jpg,31,1,0,20170103183716629
UTKFace/39_1_1_20170116012217327.jpg.chip.jpg,39,1,1,20170116012217327
UTKFace/9_1_0_20170110224621441.jpg.chip.jpg,9,1,0,20170110224621441
UTKFace/38_1_1_20170117154145792.jpg.chip.jpg,38,1,1,20170117154145792
UTKFace/23_1_2_20170116172757270.jpg.chip.jpg,23,1,2,20170116172757270
UTKFace/24_0_4_20170117194356247.jpg.chip.jpg,24,0,4,20170117194356247
UTKFace/24_1_3_20170104231950346.jpg.chip.jpg,24,1,3,20170104231950346
UTKFace/75_0_0_20170111203745246.jpg.chip.jpg,75,0,0,20170111203745246
UTKFace/36_1_1_20170116174213892.jpg.chip.jpg,36,1,1,20170116174213892
UTKFace/1_0_2_20161219212557190.jpg.chip.jpg,1,0,2,20161219212557190
UTKFace/25_1_4_20170103230211911.jpg.chip.jpg,25,1,4,20170103230211911
UTKFace/36_1_2_20170115234956957.jpg.chip.jpg,36,1,2,20170115234956957
