file_name,label
1258.png,55.03418
3813.png,49.611004
0618.png,75.84147
4134.png,48.83626
1650.png,63.639324
0323.png,67.92806
3239.png,48.58724
1904.png,30.519205
0986.png,49.583332
4514.png,45.017902
0798.png,84.22526
4455.png,58.82487
0905.png,84.39127
2112.png,85.77474
4439.png,54.314777
3954.png,46.927082
3596.png,88.29264
1469.png,52.156574
2410.png,82.67578
2903.png,60.67871
4237.png,25.732422
2979.png,50.302734
3715.png,101.54623
2383.png,31.791992
1630.png,46.097004
0964.png,24.072266
1896.png,52.599285
4294.png,70.30762
3818.png,27.613932
2558.png,13.336589
4822.png,42.5
2696.png,53.81673
4908.png,67.81738
3543.png,63.36263
2674.png,51.464844
2354.png,52.239582
0286.png,57.884113
1190.png,45.764973
3377.png,58.7972
4795.png,35.056965
3617.png,73.683266
1933.png,77.944336
1295.png,63.916016
1799.png,50.496418
4831.png,77.97201
1529.png,61.979168
1460.png,53.567707
1797.png,59.12923
1704.png,55.974934
1176.png,85.7194
1638.png,43.24707
0382.png,69.532875
1434.png,76.64388
0220.png,39.262695
0212.png,57.33073
1857.png,68.95182
2188.png,85.7194
4829.png,54.64681
4578.png,87.01986
2846.png,32.124023
1360.png,15.882161
3647.png,37.51953
1063.png,66.76595
0953.png,47.42513
1692.png,69.975586
4200.png,83.47819
2601.png,96.953125
2924.png,60.73405
4656.png,57.66276
4902.png,82.31608
3251.png,56.94336
4488.png,32.373047
0896.png,61.89616
2668.png,58.465168
1784.png,74.45801
3716.png,51.409504
3978.png,79.410805
1633.png,22.522787
3025.png,23.048502
2634.png,80.157875
4556.png,26.009115
2766.png,76.25651
1254.png,43.828125
4265.png,55.83659
4616.png,77.47396
3517.png,52.405598
2118.png,36.16374
0782.png,78.08268
1913.png,39.124348
4073.png,56.16862
4903.png,24.791666
2983.png,42.22331
2517.png,64.99512
2365.png,61.37044
1981.png,33.70117
0091.png,56.91569
2168.png,53.89974
3973.png,30.546875
4918.png,77.77832
3012.png,28.139648
4857.png,49.38965
1814.png,37.740887
3151.png,55.08952
2151.png,44.575195
3445.png,42.942707
4078.png,56.832684
0904.png,67.9834
3449.png,67.07031
4644.png,29.96582
0491.png,58.575848
2718.png,45.93099
0283.png,82.5651
2658.png,65.88053
0349.png,59.073895
2606.png,75.12207
0333.png,52.986652
1090.png,61.232098
0584.png,87.075195
0492.png,93.32845
4797.png,46.041668
1373.png,25.40039
4148.png,46.18001
2260.png,65.29948
0309.png,49.749348
2227.png,35.69336
3790.png,33.535156
0447.png,65.714516
4685.png,75.56478
1276.png,41.088867
1666.png,66.240234
4159.png,28.942057
3649.png,47.784832
2988.png,29.274088
1860.png,53.761395
2337.png,22.74414
2154.png,79.217125
0610.png,30.629883
0374.png,47.508137
3431.png,51.022137
3712.png,21.831055
2012.png,35.029297
2107.png,39.318035
1088.png,17.016602
1688.png,82.509766
0701.png,58.90788
0811.png,56.25163
1316.png,74.56869
3522.png,66.572266
0303.png,38.045246
4331.png,65.27181
2707.png,61.066082
3059.png,70.25228
2998.png,39.207355
3379.png,43.911133
4300.png,46.816406
4722.png,71.27604
3904.png,80.62826
2626.png,68.12174
0788.png,50.247395
4650.png,85.166016
1747.png,43.385418
2157.png,46.18001
3923.png,40.507812
2762.png,43.468426
3785.png,34.91862
3640.png,42.610676
4277.png,54.314777
2355.png,61.50879
1818.png,63.943684
1321.png,49.860027
3850.png,88.541664
1603.png,34.669598
2974.png,67.34701
3319.png,50.773113
1513.png,31.625977
4486.png,36.05306
4297.png,42.804363
1389.png,54.093426
2742.png,28.914389
3258.png,62.366535
3833.png,73.904625
2528.png,62.753906
2789.png,45.128582
4927.png,66.1849
2457.png,66.6276
2499.png,48.22754
3666.png,51.63086
4363.png,92.96875
0538.png,57.63509
2690.png,54.591473
2110.png,57.856445
1793.png,39.78841
4197.png,82.23307
2918.png,22.329102
2404.png,88.984375
1453.png,58.16081
0826.png,19.506836
2048.png,45.405273
1711.png,79.65983
2746.png,32.2347
1416.png,38.902996
2691.png,41.47624
4136.png,38.01758
0907.png,56.52832
2419.png,58.880207
0545.png,34.641926
1433.png,69.947914
4054.png,50.275066
4751.png,58.133137
1257.png,89.64844
2803.png,53.678387
0389.png,72.68717
0681.png,72.742516
3805.png,50.93913
3950.png,36.689453
0674.png,28.388672
3733.png,57.718098
2057.png,72.189125
1131.png,44.602863
3759.png,53.92741
4141.png,55.117188
3994.png,82.288414
4366.png,17.84668
2599.png,75.288086
2969.png,89.34408
3324.png,46.59505
1457.png,54.25944
0437.png,45.93099
3175.png,43.63444
1809.png,10.154622
2773.png,87.711586
1677.png,66.59994
0657.png,81.95638
0193.png,38.76465
0680.png,53.235676
0130.png,76.69922
0176.png,18.400064
0385.png,64.41406
4142.png,83.94857
2406.png,21.416016
4282.png,62.338867
2758.png,80.600586
2553.png,38.847656
3907.png,32.373047
2020.png,33.175457
4391.png,45.128582
0984.png,63.113605
4180.png,25.06836
0301.png,25.81543
4833.png,22.882486
0105.png,35.36133
2747.png,18.649088
1879.png,49.140625
1370.png,70.501305
4825.png,50.911457
0521.png,48.83626
3188.png,71.442055
3115.png,27.447916
1347.png,36.246746
3108.png,88.81836
1201.png,66.95963
1936.png,63.888348
2052.png,64.19271
0927.png,56.002605
0426.png,58.05013
4061.png,64.41406
0878.png,32.511395
0933.png,25.289713
2508.png,34.724934
4905.png,69.58822
1668.png,47.176105
3110.png,16.490885
2944.png,50.358074
1031.png,41.0612
3120.png,74.62402
2645.png,48.808594
1148.png,49.887695
4953.png,78.82975
3457.png,45.98633
3731.png,92.802734
0094.png,67.48535
1886.png,91.197914
1041.png,63.860676
2738.png,55.78125
3614.png,73.57259
2706.png,47.646484
2607.png,56.638996
2579.png,58.963215
4001.png,69.09017
1023.png,81.09863
3238.png,60.180664
2075.png,47.563477
3770.png,34.033203
2725.png,78.41471
2103.png,64.635414
0414.png,36.938477
0370.png,57.884113
0391.png,23.601889
0260.png,24.542643
3101.png,55.615234
1708.png,68.39844
0724.png,47.895508
3803.png,84.086914
2286.png,59.156902
0444.png,9.850261
3926.png,20.613607
0016.png,76.975914
2278.png,62.781574
3114.png,41.863605
1019.png,53.45703
